,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
96,A N T H O N Y,@BscThony,2021-09-02T22:00:30.000Z,"Lo mejor de Ecuador 

#ByronCastillo 
#EliminatoriasQatar2022",,,,1,,['https://pbs.twimg.com/media/E-T-hGTVcBMLDH6?format=jpg&name=small'],https://twitter.com/BscThony/status/1433550428579393570
97,Diana,@13dianac,2021-09-02T23:22:08.000Z,"Ecuador 
#CinderellaOnPrime #CinderellaMovie",GIF,,,1,1,['https://pbs.twimg.com/tweet_video_thumb/E-URMiIXsAQWk7h.jpg'],https://twitter.com/13dianac/status/1433570971840126981
98,Johnson Sáenz,@JohnsonSaenz,2021-09-02T20:18:08.000Z,Los 11 de la selección de #Paraguay ante #Ecuador #ELIMINATORIAS,,,,,1,['https://pbs.twimg.com/media/E-TnFgTVQAcjp_L?format=jpg&name=small'],https://twitter.com/JohnsonSaenz/status/1433524664857505797
99,With Chen,@DXJA28,2021-09-02T23:04:23.000Z,"Ya ven que si Ganamos 
Siempre hay tenerle Fe a mi Tri Chucha 
#Ecuador
""Este Ecuador amazonico, desde siempre y hasta siempre, que viva la patria.""",,💋,,,2,['https://pbs.twimg.com/media/E-UNI0lVUAULsA0?format=jpg&name=small'],https://twitter.com/DXJA28/status/1433566504419614728
100,La Morlaquita Radio,@MorlaquitaRadio,2021-09-02T20:46:55.000Z,"Alineaciones confirmadas 
#Ecuador vs #Paraguay 
#EliminatoriasQatar2022 
#EliminatoriasSudamericanas 
¿Quién ganará el partido?
Dale  #Ecu 
Dale  #par",,❤ 🔁,,,2,"['https://pbs.twimg.com/media/E-TtqdcVcBcTvkP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-TtrHNVcAMr5TV?format=jpg&name=360x360']",https://twitter.com/MorlaquitaRadio/status/1433531910584627224
101,Nisael,@NisaelML,2021-09-02T21:21:22.000Z,"Alfaro está experimentando una formación con 3 en el fondo. Hasta el momento todos se sienten incómodos. 
#Ecuador #EliminatoriasSudamericanas",,,,,,[],https://twitter.com/NisaelML/status/1433540578621468675
102,Johnson Sáenz,@JohnsonSaenz,2021-09-02T20:12:19.000Z,El 11 titular de #Ecuador ante #Paraguay,,,,,,['https://pbs.twimg.com/media/E-TlwUyVgAEL2pi?format=jpg&name=medium'],https://twitter.com/JohnsonSaenz/status/1433523201980571648
103,Jean,@Jean_7jene,2021-09-02T22:39:59.000Z,"Angel Mena 1 partido bueno, 20 partidos malos en #Latri #Ecuador",,,,,,[],https://twitter.com/Jean_7jene/status/1433560364398956545
104,Debate del Fútbol Ecuatoriano,@DebateFutbolEc,2021-09-02T21:38:30.000Z,#Ecuador cero tiros al arco en 35 minutos.,,,,,,['https://pbs.twimg.com/media/E-T5ew-VcC4jslt?format=jpg&name=small'],https://twitter.com/DebateFutbolEc/status/1433544891359842307
105,LA VOZ DE DAULE,@LAVOZDEDAULE,2021-09-02T19:33:54.000Z,"Atento #Ecuador 

‍ Los exportadores de camarón, banano, cacao y plátano apoyan el acercamiento del presidente 
@LassoGuillermo
 con su homólogo chino, Xi Jinping, para  fortalecer la cooperación bilateral y analizar un posible acuerdo de libre comercio con ese país.",,👁 🗨,,,2,"['https://pbs.twimg.com/media/E-Tc9YaWQAM8ote?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Tc9jUWUAIt9Ou?format=jpg&name=360x360']",https://twitter.com/LAVOZDEDAULE/status/1433513533032042503
106,Gabriela Rivadeneira,@ga_rivadeneira,2021-09-02T20:05:21.000Z,"Ecuador VS Paraguay
#EliminatoriasQatar2022 #EliminatoriasSudamericanas
Mi país, mi país...",,,,3,4,['https://pbs.twimg.com/media/E-TkJpbVcAYcIIr?format=jpg&name=small'],https://twitter.com/ga_rivadeneira/status/1433521446379155477
