,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,SportsCenter,@SC_ESPN,2021-09-02T22:56:39.000Z,"¡Lo grita Félix Torres, lo grita todo Ecuador! La Tri de Alfaro sueña en grande con el Mundial de #Qatar2022.",,,7,208,1.2K,['https://pbs.twimg.com/media/E-ULRhrVQAwqKyf?format=jpg&name=small'],https://twitter.com/SC_ESPN/status/1433564559046955008
1,La Tri,@LaTri,2021-09-02T23:03:04.000Z," ¡Grítalo con el alma #FélixTorres! 

#JuntosConLaTri",,😍,29,267,2.2K,['https://pbs.twimg.com/media/E-UM1MaVkAAoiFs?format=jpg&name=small'],https://twitter.com/LaTri/status/1433566174139146241
2,Teleamazonas,@teleamazonasec,2021-09-02T22:57:03.000Z,#AHORA | Final del partido. ‘La Tri’ suma otra victoria en el estadio Rodrigo Paz Delgado en #Quito.  #Ecuador 2 vs 0  #Paraguay,,,9,110,474,['https://pbs.twimg.com/media/E-ULdXMWYAAVZYo?format=jpg&name=small'],https://twitter.com/teleamazonasec/status/1433564657197912068
3,El Comercio,@elcomerciocom,2021-09-02T23:41:17.000Z,Todos los ecuatorianos viendo a la Tri y creyendo nuevamente en la Selección ,,🥲 💛 💙 ❤,23,166,1.3K,['https://pbs.twimg.com/media/E-UViI8XsAYiMR9?format=jpg&name=small'],https://twitter.com/elcomerciocom/status/1433575790688538624
4,La Tri,@LaTri,2021-09-02T22:48:04.000Z," 87’ ¡GOOOOOOOOOOOOOOOOOOOOL FELIX CARAJOOOOOOO GOOOOOOL! 

 #ECU 1  0 #PAR     
 #ClasificatoriaQatar2022
 Fecha 9
 Rodrigo Paz Delgado 

#VamosEcuador ",,⏰ ⚽ 🆚 🏆 🗓 🏟,36,191,769,['https://pbs.twimg.com/ext_tw_video_thumb/1433562298019246081/pu/img/vSBs9y7kQgLPvca8.jpg'],https://twitter.com/LaTri/status/1433562399445958656
5,Aristizábal TV,@aristizabaltvec,2021-09-02T22:57:38.000Z," Así fue el gol de Félix Torres para el 1-0 de Ecuador a Paraguay en Quito al minuto 88.

#EliminatoriasQatar2022
#EliminatoriasSudamericanas 
@Cupsfire_gye","From 
T.",🌐 ⚽,1,49,165,['https://pbs.twimg.com/ext_tw_video_thumb/1433562150312701953/pu/img/hA2eTQNpvPzGFE2A.jpg'],https://twitter.com/aristizabaltvec/status/1433564804304748546
6,MisterChip (Alexis),@2010MisterChip,2021-09-02T23:06:09.000Z,ECU 2-0 PAR (FT) - Enorme triunfo de Ecuador ante una selección que llevaba 5 partidos seguidos sin perder fuera de casa en Eliminatorias. Con 12 puntos en 7 partidos (como ahora tiene Ecuador) se clasificaron para la Copa del Mundo 6 de 8 selecciones (75%) en CONMEBOL.,,,75,719,4.5K,[],https://twitter.com/2010MisterChip/status/1433566949989097475
7,Havoline Deportivo,@havolinedeport,2021-09-02T23:30:59.000Z,"¡EL GOLAZO DESDE LAS GRADAS!

Sin duda, el mejor regreso a los estadios para el hincha ecuatoriano. Victoria de #Ecuador en el Rodrigo Paz Delgado ¡Vamos TRI!

#EliminatoriasQatar2022","0:35
107.9K views
From 
Marco",🏟 ⚽ 💛 💙 ❤,4,87,271,[],https://twitter.com/havolinedeport/status/1433573198843502596
8,Todos los Deportes en un solo sitio,@GolEcuador,2021-09-02T22:47:46.000Z,"¡Gooooooooooooooooooooooooooooooooooooool de la Tri!

Félix Torres pone la primera para  sobre .

Ecuador   -    Paraguay 

#EliminatoriasSudamericanas",,,,,2,['https://pbs.twimg.com/media/E-UJVL7UYAYW6g1?format=jpg&name=small'],https://twitter.com/GolEcuador/status/1433562321956208643
9,Metro Ecuador,@MetroEcuador,2021-09-02T22:34:39.000Z," Ecuador 0  Paraguay  0

Fecha 9 #ClasificatoriaQatar2022 

Estadio  Rodrigo Paz Delgado 

 La Albirroja tiene pocas llegadas en este segundo tiempo.",,🆚 🗓 🏆 ⚽ 🏟 ⏱,,,2,[],https://twitter.com/MetroEcuador/status/1433559019436720128
